Unit_Code,Foray_Name,Protocol_Name,Start_Date,Genus,Species,Host,Collection_Number,Voucher_Specimen,Outside_Plot,Comments,NPS_Accession_Num,NPS_Catalog_Num,Collector
CATO,Chimney Rock,Plot,7/21/06,Inocybe,sp.,Litter,499,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,7/21/06,Marasmius,rotula,Dead Hardwood,497,TRUE,FALSE,,152,2338,Lauraine Hawkins
CATO,Chimney Rock,Plot,7/21/06,Schizophyllum,commune,Rotting Hardwood,500,TRUE,FALSE,,152,2357,Elizabeth Brantley
CATO,Chimney Rock,Plot,9/17/06,Marasmiellus,nigripes,Litter,692,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,8/7/05,No ID,,Dead Hardwood,157,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,8/7/05,Polyporus,badius,Duff,156,TRUE,FALSE,,152,2293,Lauraine Hawkins
CATO,Chimney Rock,Plot,9/2/05,Crucibulum,laeve,Litter,321,TRUE,FALSE,,152,2299,Lauraine Hawkins
CATO,Chimney Rock,Plot,7/9/05,Schizophyllum,commune,Dead Hardwood,37,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,7/9/05,No ID,,Dead Hardwood,55,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,7/9/05,Hygrocybe,sp.,Dead Hardwood,40,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,7/9/05,No ID,,Buried Wood/Duff,34,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,7/9/05,Marasmius,siccus,Duff/Hardwood,53,TRUE,FALSE,,152,2282,Lauraine Hawkins
CATO,Chimney Rock,Plot,8/5/06,Marasmius,siccus,Litter,554,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,7/9/05,Marasmius,felix,Petiole,42,TRUE,FALSE,,152,2347,Lauraine Hawkins
CATO,Chimney Rock,Plot,9/2/05,Lycoperdon,umbrinum,Litter,325,TRUE,FALSE,,152,2305,Lauraine Hawkins
CATO,Chimney Rock,Plot,8/5/06,Schizophyllum,commune,Dead Hardwood,553,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,9/2/05,Marasmius,pyrrocephalus,Dead Hardwood,320,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,9/2/05,Rhodocybe,sp.,Dead Hardwood,322,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,9/2/05,Phellinus,rimosus,Dead Hardwood,328,TRUE,FALSE,,152,2302,Lauraine Hawkins
CATO,Chimney Rock,Plot,9/2/05,Daldinia,concentrica,Dead Hardwood,324,TRUE,FALSE,,152,2300,Lauraine Hawkins
CATO,Chimney Rock,Plot,9/2/05,Psathyrella,delineata,Dead Hardwood,326,TRUE,FALSE,,152,2360,Lauraine Hawkins
CATO,Chimney Rock,Plot,9/17/06,Tricholoma,sp.,Soil,695,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,9/17/06,Marasmius,siccus,Soil,688,TRUE,FALSE,,152,2337,Lauraine Hawkins
CATO,Chimney Rock,Plot,9/2/05,Inocybe,sp.,Litter,323,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,7/9/05,Crepidotus,spp.,Dead Hardwood,36,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,7/9/05,Xeromphalina,tenuipes,Buried Wood,45,TRUE,FALSE,,152,2281,Lauraine Hawkins
CATO,Chimney Rock,Plot,7/9/05,Marasmius,pulcherripes,Dead Hardwood,35,TRUE,FALSE,,152,2346,Lauraine Hawkins
CATO,Chimney Rock,Plot,9/2/05,Coprinus,atramentarius,Inside rotting stump,327,TRUE,FALSE,,152,2301,Lauraine Hawkins
CATO,Chimney Rock,Plot,7/9/05,No ID,,Litter,51,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,7/9/05,Russula,sp.,,47,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,7/9/05,Marasmius,sp.,Dead Hardwood,41,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,7/9/05,Sarcoscypha,occidentalis,Dead Hardwood,46,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,7/9/05,Clavulina,cristata,Soil,48,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,7/9/05,Pleurotus,ostreatus,Live Hardwood,50,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,7/9/05,Phaeomarasmius,erinaceellus,Dead Hardwood,54,TRUE,FALSE,,152,2283,Lauraine Hawkins
CATO,Chimney Rock,Plot,7/9/05,Marasmius,sp.,Dead Hardwood,52,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,7/9/05,Polyporus,elegans,Rotting Wood,43,TRUE,FALSE,,152,2280,Lauraine Hawkins
CATO,Chimney Rock,Plot,7/9/05,Crucibulum,laeve,Dead Hardwood,39,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,7/9/05,No ID,,Dead Hardwood,44,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,7/9/05,Marasmius,epiphyllus,Dead Hardwood,38,TRUE,FALSE,,152,2340,Lauraine Hawkins
CATO,Chimney Rock,Plot,7/9/05,Galiella,rufa,Dead Hardwood,49,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,8/5/06,No ID,,Litter,568,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,8/5/06,Marasmiellus,nigripes,Rotting Wood,567,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,8/5/06,Scleroderma,areolatum,Soil,571,TRUE,FALSE,,152,2306,Lauraine Hawkins
CATO,Owens Creek,Plot,8/5/06,No ID,,Soil,559,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,8/5/06,Clavulina,cinerea,Litter,557,TRUE,FALSE,,152,2308,Lauraine Hawkins
CATO,Owens Creek,Plot,8/5/06,Crepidotus,applanatus,Dead Hardwood,563,TRUE,FALSE,,152,2372,Elizabeth Brantley
CATO,Owens Creek,Plot,8/5/06,Scleroderma,citrinum,Soil,556,TRUE,FALSE,,152,2307,Lauraine Hawkins
CATO,Owens Creek,Plot,8/5/06,Megacollybia,platyphylla,Buried Wood,562,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,8/5/06,Daldinia,concentrica,Rotting Hardwood,575,FALSE,TRUE,,,,
CATO,Owens Creek,Plot,8/5/06,Microstoma,floccosa,Rotting Hardwood Limb,572,TRUE,FALSE,,152,2324,Lauraine Hawkins
CATO,Owens Creek,Plot,8/5/06,Marasmius,siccus,Soil,565,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,8/5/06,Gymnopus,dryophilus,Litter,566,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,8/5/06,Mycena,sp.,Soil,573,FALSE,FALSE,,,,
CATO,Owens Creek,Plot,8/5/06,Sarcoscypha,occidentalis,Downed Twigs,570,TRUE,FALSE,,152,2323,Lauraine Hawkins
CATO,Owens Creek,Plot,7/21/06,No ID,,Litter,475,FALSE,FALSE,,,,
